customer_id,Current_Customer_Grade,no_of_transactions,sum_profit,sum_purchase,average_purchase,owns_car,wealth_segment,past_3_years_bike_related_purchases,property_valuation,age,first_name,last_name,address,postcode,state,country
"941       ",1st grade,10,11668,17898,1790.000000,"Yes       ",Affluent Customer,13,8,25,Tye,Doohan,5 Gale Street,4507,Queensland,Australia
"2637      ",1st grade,11,11221,13894,1263.000000,"Yes       ",Mass Customer,28,10,48,Marcile,Christley,518 Colorado Trail,2100,New South Wales,Australia
"1460      ",1st grade,8,10785,14631,1829.000000,"Yes       ",High Net Worth,92,9,47,Morley,Shutt,25 Darwin Terrace,2207,New South Wales,Australia
"1558      ",1st grade,9,10639,13586,1510.000000,"No        ",Affluent Customer,14,10,29,Oberon,Scading,07236 Jenifer Point,2763,New South Wales,Australia
"729       ",1st grade,10,10496,15824,1582.000000,"No        ",Affluent Customer,30,9,47,Ammamaria,Standbridge,8044 Emmet Hill,3150,Victoria,Australia
"3326      ",1st grade,13,10420,14076,1083.000000,"Yes       ",High Net Worth,83,9,45,Wes,Crotch,18118 Maple Wood Crossing,2763,New South Wales,Australia
"322       ",1st grade,12,10342,14783,1232.000000,"Yes       ",Mass Customer,19,6,43,De,Denington,5 Schurz Place,4350,Queensland,Australia
"2770      ",1st grade,9,10028,13728,1525.000000,"Yes       ",High Net Worth,24,6,43,Olvan,Loadwick,3 Buena Vista Crossing,2444,New South Wales,Australia
"2762      ",1st grade,9,10020,13096,1455.000000,"No        ",Mass Customer,34,7,28,Rozamond,Franceschino,2121 Dapin Center,3977,Victoria,Australia
"1597      ",1st grade,12,9738,18051,1504.000000,"No        ",Affluent Customer,93,10,43,Jeffry,Slowly,019 Derek Hill,2224,New South Wales,Australia
"195       ",1st grade,7,9631,12477,1782.000000,"No        ",Mass Customer,34,9,62,Talyah,Rylatt,43 Upham Crossing,3143,Victoria,Australia
"363       ",1st grade,6,9457,11620,1937.000000,"Yes       ",Mass Customer,82,12,32,Sabrina,Caddy,93583 Moland Way,2066,New South Wales,Australia
"1482      ",1st grade,12,9268,14365,1197.000000,"No        ",Mass Customer,29,8,41,Georas,Niesel,7231 Pepper Wood Point,2428,New South Wales,Australia
"936       ",1st grade,12,9246,17161,1430.000000,"No        ",High Net Worth,64,2,32,Raffaello,Godleman,5 Reindahl Point,3400,Victoria,Australia
"2860      ",1st grade,10,9226,14673,1467.000000,"No        ",Mass Customer,13,7,25,Charity,Robken,221 Autumn Leaf Trail,2564,New South Wales,Australia
"2046      ",1st grade,9,9187,13346,1483.000000,"Yes       ",Mass Customer,3,8,61,Charis,Maas,8 Crowley Terrace,2760,New South Wales,Australia
"2788      ",1st grade,11,9062,17259,1569.000000,"No        ",Affluent Customer,45,10,52,Melantha,Pickburn,282 Esker Crossing,3150,Victoria,Australia
"1043      ",1st grade,9,9038,13024,1447.000000,"Yes       ",Mass Customer,34,7,34,Giorgi,Hurford,91 Spohn Plaza,4573,Queensland,Australia
"3232      ",2nd grade,13,8904,13452,1035.000000,"Yes       ",Mass Customer,7,10,27,Rose,Milsom,78258 Hanover Plaza,3070,Victoria,Australia
"3242      ",2nd grade,8,8891,11452,1432.000000,"Yes       ",Affluent Customer,4,8,62,Lib,Schohier,683 Scoville Park,3168,Victoria,Australia
"832       ",2nd grade,12,8868,13562,1130.000000,"No        ",Mass Customer,30,3,43,Shaun,Murphey,44997 Anniversary Way,4114,Queensland,Australia
"1503      ",2nd grade,10,8864,13724,1372.000000,"No        ",Affluent Customer,1,10,52,Del,Scullin,75 Hoepker Street,2232,New South Wales,Australia
"2912      ",2nd grade,13,8834,14149,1088.000000,"No        ",High Net Worth,60,11,44,Tobit,NULL,7916 Clyde Gallagher Place,2075,New South Wales,Australia
"1866      ",2nd grade,9,8833,12449,1383.000000,"No        ",Mass Customer,27,12,28,Huberto,Bazylets,007 Canary Circle,2047,New South Wales,Australia
"3212      ",2nd grade,8,8830,13490,1686.000000,"No        ",Affluent Customer,62,12,39,Corella,Bartomeu,4 Farragut Center,2065,New South Wales,Australia
